input.sentences,output.sentences,persona.age
there are amazing cars everywhere,The cars were amazing.,18-24
my family members wore very neat colors that day .,Everyone had gathered to see the couple off on their cruise to Finland.,25-34
i like turtles too !,IT IS A TOY,25-34
the glass door had some interesting painted glass shapes .,"Everywhere he went, he noticed that the windows allowed you to see outside but not feel the wind.",25-34
it had been awhile since it was in use . the sides of the building looked grimy .,"I looked at another building, but closer this time.",35-44
we went on a date on a river boat .,We went out on the river on a boat for our date.,18-24
here is meg again looking bored waiting for everyone to arrive .,Katie was never impressed.,55-74
he walked on the beach after the water began to calm down .,Then all of a sudden there was a break in the clouds and the sea became calm again.,25-34
i hope we can do something like that again this year .,THE TAKE GROUP PHOTO,12-17
the friends went out for the night .,It was party time!,25-34
the parade was a beautiful testament to their culture .,Today is the multicultural Celebration.,25-34
look even the dogs are getting in on the game .,The tug of war game was so much fun.,18-24
this makes it easier to get a good mix .,Now does tahat look delicious or not?,55-74
later that afternoon we went on a raft ride . it was a great way to end the day .,We watched men float down the river on rafts.,25-34
the ceremony began with a wife pinning her husband for his accomplishment .,The wife was pinning the medal on her husband.,25-34
there was a fire hose in case of an emergency .,There was a hose for a fire emergency.,18-24
but a lot of the designs were really intricate and cool .,I turn around and look at the child who has a knowing glance.,35-44
we also saw lots of laptops .,as well as lots of laptops that served me for my work,18-24
many people was enjoying the vast buying choices .,Vast crowds of people are enjoying themselves as they shop.,45-54
the parades are especially fun to watch .,We were able to watch parades during our fun adventure.,25-34
this is how they used to deliver milk to the local townspeople .,The finishing touch was seeing the horse drawn milk wagon in front of the local dairy.,55-74
the temple lit at night | how pretty .,especially since the tempe was pretty at night,25-34
i was prepared to camp out and wait .,But first they had to wait at camp for everyone to be prepared.,18-24
after nailing the interview you decide to treat yourself at a local diner .,"Feeling  a little akward now, because of the test site issue, father led us to a local restaurant. A very nice local restaurant.",45-54
i took a family photo with my parents and sisters .,It was certainly cold bur receiving the big coin award certainly made risking frostbite well worth it.,45-54
it was really interesting seeing all the different colored kilts .,Wearing the traditional kilt during pre-game is a lot less awkward then I thought it would be.,35-44
the nice old school cars rocked !,Some cars were old but not that interesting.,25-34
we took a lot of pictures .,Her youngest son was there.,55-74
the day ended with the perfect sunset .,"The concert, and day ended tragically, when a nearby nuclear power plant went into catastrophic meltdown and blasted the park with radiation.",45-54
the dessert was no joke and i wanted more of it .,The dog was ready to go.,25-34
as the sun set | the lights illuminating the monument came on,Impressionist painters like Monet would paint the same scene at different times of day.,25-34
the family came with me to take a trip down the river to watch a performance .,He had a great time on the hike.,25-34
apparently a bunch of people decided to dress up and parade down the streets today ! here 's a tractor leading the charge .,The blue car snails down the street.,25-34
we all get a little antsy waiting for fireworks to start | krissy is off doing flippies and cartwheels in the field .,Krissy was starting to wait.,18-24
we are not the only ones that work hard though .,"Nearby, the city sounds of construction work could be heard.",18-24
i stayed there for a while .,I decided to stay and listen to the seminar.,25-34
today was a great day to visit the water .,It is so relaxing to watch the water come in today.,55-74
we were really glad there was n't any through traffic . there was no where to go but back .,"Considering the bumpy ride, we were very glad that the traffic was almos non-existant.",45-54
we had a wonderful dinner at one of the best restaurants in town .,It was a wonderful adventure.,18-24
overall | it was a fine dining experience .,I also received some really cool gifts,35-44
a storm started coming in | then the waves started crashing against the rocks .,Then the waves picked up and a storm started.,25-34
